name,rating,review,tags,company_type,total_emp,about,headquarter,total_offices,founded_year
TCS,3.9,56000,"BPO,IT Services & Consulting,Forbes Global 2000,Fortune India 500,Public,Mumbai,Maharashtra",Public,100000,"We ensure the highest levels of certainty and satisfaction through a deep-set commitment to our clients, comprehensive industry expertise and a global network of innovation and delivery centers.

We function as a full stakeholder to business, offering a consulting-led approach with an integrated portfolio of technology led solutions that encompass the entire Enterprise value chain. Our Customer-centric Engagement Model defines how we do engage with you, offering specialized services and solutions that meet the distinct needs of your business.

We build bespoke teams around your domain and technology requirements drawn from our talent pool of over 488,649 global professionals including 36.5% women from 154 nationalities. Our domain expertise has been built upon decades of experience working across industries and this knowledge underpins our suite of solutions.

Our organization structure is domain led and empowered to help provide Customers a single window to industry specific solutions. Agile industry units have embedded capabilities to enable rapid responses that provide a competitive edge to our Customers. This is coupled with a unique Global Network Delivery Model™ (GNDM™), spanning 40 global locations, that is today recognized as the benchmark of excellence in technology deployment.

We have made significant investments in Digital platforms and products spanning Technology Products, Horizontal Platforms and Products, Vertical Platforms and Products.","Mumbai,Maharashtra",275,1968
Accenture,4.1,36000,"IT Services & Consulting,Software Product,Forbes Global 2000,Public",Public,100000,"Accenture is a global professional services company with leading capabilities in digital, cloud, and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology, and Operations services — all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. 

Our 674,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners, and communities. Visit us at accenture.com.",Dublin,135,1989
Cognizant,3.9,33000,"IT Services & Consulting,Forbes Global 2000",Private,100000,"At Cognizant, we give organizations the insights to anticipate what customers want and act instantly to deliver on those demands. So they can achieve the goal of every modern business: staying one step ahead of a fast-changing world.",Teaneck. New Jersey.,106,1994
Wipro,3.9,26200,"IT Services & Consulting,Conglomerate,Forbes Global 2000,Fortune India 500,Public,Bangalore/Bengaluru,Karnataka",Public,100000,"Wipro Limited (NYSE: WIT, BSE: 507685, NSE: WIPRO) is a leading global information technology, consulting, and business process services company.

We harness the power of cognitive computing, hyper-automation, robotics, cloud, analytics, and emerging technologies to help our clients adapt to the digital world and make them successful.

A company recognized globally for its comprehensive portfolio of services, a strong commitment to sustainability, and good corporate citizenship, we have over 243,000 dedicated employees serving clients across six continents.

Together, we discover ideas and connect the dots to build a better and bold new future.","Bangalore/Bengaluru,Karnataka",233,1945
Infosys,3.9,24600,"IT Services & Consulting,Forbes Global 2000,Fortune India 500,Public,Bengaluru/Bangalore,Karnataka",Public,100000,"Infosys is a global leader in next-generation digital services and consulting. Over 300,000 of our people work to amplify human potential and create the next opportunity for people, businesses, and communities. With over four decades of experience in managing the systems and workings of global enterprises, we expertly steer clients, in more than 50 countries, as they navigate their digital transformation powered by the cloud. We enable them with an AI-powered core, empower the business with agile digital at scale and drive continuous improvement with always-on learning through the transfer of digital skills, expertise, and ideas from our innovation ecosystem. We are deeply committed to being a well-governed, environmentally sustainable organization where diverse talent thrives in an inclusive workplace. Our purpose is to amplify human potential and create the next opportunity for people, businesses, and communities.","Bengaluru/Bangalore,Karnataka",130,1981
Capgemini,3.9,22900,"Internet,Analytics & KPO,IT Services & Consulting,Software Product,Forbes Global 2000,Public",Public,100000,"Capgemini is a global leader in partnering with companies to transform and manage their business by harnessing the power of technology. 

The Group is guided everyday by its purpose of unleashing human energy through technology for an inclusive and sustainable future. It is a responsible and diverse organization of over 350,000 team members in more than 50 countries. 

With its strong 55 year heritage and deep industry expertise, Capgemini is trusted by its clients to address the entire breadth of their business needs, from strategy and design to operations, fueled by the fast evolving and innovative world of cloud, data, AI, connectivity, software, digital engineering and platforms. 

The Group reported in 2021 global revenues of €18 billion.

Get the Future You Want |  www.capgemini.com/in-en",Paris,81,1967
Tech Mahindra,3.7,21300,"Consulting,Analytics & KPO,IT Services & Consulting,Forbes Global 2000,Fortune India 500,Public,Pune,Maharashtra",Public,75000,"Tech Mahindra offers innovative and customer-centric digital experiences, enabling enterprises, associates, and society to rise. We are a USD 5.1 billion organization with 141,100+ professionals across 90 countries helping 1123 global customers, including Fortune 500 companies. 

We are focused on leveraging next-generation technologies including 5G, Blockchain, Cybersecurity, Artificial Intelligence, and more, to enable end-to-end digital transformation for global customers. Tech Mahindra is one of the fastest-growing brands and amongst the top 15 IT service providers globally. 

Tech Mahindra has consistently emerged as a leader in sustainability and is recognized amongst the ‘2021 Global 100 Most sustainable corporations in the World’ by Corporate Knights. With the NXT.NOW™ framework, Tech Mahindra aims to enhance ‘Human Centric Experience’ for our ecosystem and drive collaborative disruption with synergies arising from a robust portfolio of companies. 

Tech Mahindra aims at delivering tomorrow’s experiences today and believes that the ‘Future is Now.

We are part of the Mahindra Group, founded in 1945, one of the largest and most admired multinational federations of companies with 260,000 employees in over 100 countries. It enjoys a leadership position in farm equipment, utility vehicles, information technology, and financial services in India and is the world’s largest tractor company by volume. It has a strong presence in renewable energy, agriculture, logistics, hospitality, and real estate. 

The Mahindra Group has a clear focus on leading ESG globally, enabling rural prosperity and enhancing urban living, with a goal to drive positive change in the lives of communities and stakeholders to enable them to rise.","Pune,Maharashtra",218,1986
Genpact,4,20700,"IT Services & Consulting,Public",Public,75000,"Genpact (NYSE: G) is a global professional services firm delivering business outcomes that transform industries and shape the future. Fusing real-world expertise and collaborative innovation, we make businesses work better – breaking down boundaries, creating simplicity from complexity, and building ecosystems of impact. 

Guided by our experience reinventing and running thousands of processes for hundreds of companies, our Global Fortune 500 clients come to us for digital-led innovation and digitally-enabled operations that dig deep into data to turn insight into action. 

And we do it all with purpose. From New York to New Delhi and more than 30 countries in between, our 100,000+ team is passionate about our relentless pursuit of a world that works better for people.

Genpact began in 1997 as a business unit within General Electric. Then, in January 2005, we became an independent company, bringing our process expertise and unique DNA in Lean management to more companies. 

We became a publicly traded company in 2007. Since December 31, 2005, we have expanded from 19,000+ employees and annual revenues of $491.90 million to 100,000+ employees and annual revenues of $4.0 billion as of December 31, 2021.","New York,New York",71,1997
HCLTech,3.8,20000,"Financial Services,Consumer Electronics & Appliances,IT Services & Consulting,Software Product,Conglomerate,Forbes Global 2000,Fortune India 500,Public",Public,100000,"<strong>HCLTech </strong>is a global technology company, home to 225,900+ people across 60 countries, delivering industry-leading capabilities centered around digital, engineering and cloud powered by a broad portfolio of technology services and products. <br /><br />We work with clients across all major verticals, providing industry solutions for Financial Services, Manufacturing, Life Sciences and Healthcare, Technology and Services, Telecom and Media, Retail and CPG, and Public Services. Our purpose is to bring together the best of technology and our people to supercharge progress. <br /><br />We&rsquo;re supercharging progress for everyone, everywhere &ndash; our clients, partners and their stakeholders, our people, communities, and the planet. Part of the HCL group, HCLTech was listed on the stock exchanges in India at the turn of the millennium in December 1999. Since our inception, we have pioneered several industry mainstays and established leadership positions in all our chosen segments. <br /><br />As a company, we are deeply focused on accelerating our ESG agenda. We are also creating technology-enabled sustainable solutions with and for our clients and partners. We embed ESG imperatives into every aspect of our business and ensure that the progress we supercharge is responsible, inclusive and beneficial to all our stakeholders in the long term. We have committed to achieving net zero by 2040. We recognize the impact that a business like ours can deliver in elevating communities globally, and we continue to improve our efforts and take decisive actions that benefit the communities in which we work and live. Through the HCL Foundation, the CSR arm of HCLTech, we have invested more than $130 million in social development efforts serving communities throughout India across education, health, water, sanitation and hygiene, skill development and livelihoods, environment, and disaster risk reduction, response and management. <br /><br />We&rsquo;re powered by our people &ndash; a global, diverse, multi-generational talent - representing 161 nationalities whose unique spark, perspective and boundless passion drive our culture of proactive value creation and problem-solving. Consolidated revenues as of 12 months ending March 2023 totaled $12.6 billion. To learn how we can supercharge progress for you, visit hcltech.com<br /><br /><strong>Why join us:</strong><br /><br />In 1976, there were only 250 computers in India. It was then that Shiv Nadar, the founder of HCL, led a team of eight young people who passionately believed in the power of information technology. From that vision, grew a global enterprise that redefined the Indian IT industry.<br /><br />Today, HCLTech (which spun off as a separate unit in 1991) is one of the leading IT service providers worldwide, with a revenue of $12.6 billion. But while we may be a globally recognized leader in the tech and IT industry, we&rsquo;ve never forgotten the start-up mindset that got us here.<br /><br />We&rsquo;ve always approached our work with an idea-first attitude because every one of our accomplishments&mdash;no matter how big or small&mdash;can be traced back to an idea&rsquo;s single spark.<br /><br />It&rsquo;s that spark&mdash;that inner drive&mdash;that sets our people apart from our competitors. It enables us not just to pull off game-changing feat after game-changing feat but to better our world in the process.<br /><br /><strong>At HCLTech, you&rsquo;ll supercharge your potential. &nbsp; </strong>&nbsp;<br />- You&rsquo;ll find your career.<br />- And you&rsquo;ll find your spark.<br />- All at a place that knows that helping its customers stay on top starts by putting its people first.<br /><br /><strong>We offer:</strong><br />&bull; &nbsp; &nbsp;career opportunities on your terms<br />&bull; &nbsp; &nbsp;enriching job experiences<br />&bull; &nbsp; &nbsp;an employment that you can trust in<br />&bull; &nbsp; &nbsp;a diverse, international culture that values your whole self<br /><br />We have been named as <strong>Global Top Employer for 2023</strong> and certified as a <strong>Top Employer in 25 countries</strong> across three regions by the Top Employers Institute for consistency in people practices across the globe.<br />We have been recognized as a top employer in Australia, Brazil, Bulgaria, Canada, Costa Rica, Finland, France, Germany, Guatemala, India, Italy, Japan, Malaysia, Mexico, Netherlands, New Zealand, Philippines, Poland, Portugal, Romania, Singapore, South Africa, Sweden, United Kingdom and the United States. Of these 25 countries, we are ranked number one in 18 countries, including India.<br /><br />HCLTech has also received top honors in the key 3 geographies of its operations - <strong>Top Employer Europe 2023</strong>, <strong>Top Employer Asia Pacific 2023 </strong>and <strong>Top Employer North America 2023</strong>.&nbsp;<br /><br />These accolades demonstrate our commitment to fostering a work environment with an innovative and a progressive work culture.<br /><br />Find your spark with career opportunities at HCLTech. <br />Visit: www.hcltech.com/careers","Noida,Uttar Pradesh",146,1991
IBM,4.1,16500,"BPO/KPO,Consulting,Financial Services,Emerging Technologies,IT Services & Consulting,Software Product,Forbes Global 2000,Public",Public,75000,"IBMers believe in progress—that the application of intelligence, reason and science can improve business, society and the human condition

IBM has developed a thoughtful, comprehensive approach to corporate citizenship that we believe aligns with IBM’s values and maximised the impact we can make as a global enterprise. We focus on specific societal issues, including the environment, community economic development, education and skills, public health, literacy, language and culture.

The mission of India CSR is to foster life-long learning opportunities across India through streamlined initiatives that cut pathways across education [access], skills/employability [inclusion], and employment [equity and quality].

IBM’s greatest asset is the IBMer. We believe our strength lies in the diversity of our employees. IBM encourages creative pursuits and passions outside of work, because when IBMers can explore their curiosity, it gives all of us a new outlook on the world and its possibilities for emerging tech. Together, IBM can drive progress through meaningful innovation and action.

The new generation of hybrid cloud enables you to build once, deploy anywhere and manage it all from a single pane of glass. So your business can adapt and transform like never before.","Armonk,New York",123,1911
